Action,locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
Added,False,"Norton Folgate, Liverpool Street",22,-0.078869751,True,51.52111369,False,122,1
Added,False,"St. John Street, Finsbury",9,-0.104724625,True,51.52836014,False,123,9
Added,False,"Eaton Square, Belgravia",7,-0.150905245,True,51.49654462,False,124,13
Added,False,"Borough High Street, The Borough",9,-0.09452431900000001,True,51.50069491,False,125,12
Added,False,"Museum of London, Barbican",48,-0.096496865,True,51.51782144,False,126,0
Added,False,"Wood Street, Guildhall",17,-0.09388536,True,51.51700801,False,127,0
Added,False,"Emperor's Gate, South Kensington",4,-0.18529651600000002,True,51.49536226,False,128,18
Added,False,"Golden Square, Soho",18,-0.137043852,True,51.5118973,False,129,0
Added,False,"Tower Gardens , Tower",12,-0.07545948200000001,True,51.50950627,False,130,9
Added,False,"Eversholt Street , Camden Town",13,-0.136792671,True,51.53300545,False,131,2
Added,False,"Bethnal Green Road, Shoreditch",35,-0.074754872,True,51.52364804,False,132,0
Added,False,"Derry Street, Kensington",17,-0.19146238100000001,True,51.50136494,False,133,1
Added,False,"Wapping High Street, Wapping",5,-0.06797,True,51.504903999999996,False,134,15
Added,False,"Clerkenwell Green, Clerkenwell",16,-0.104708922,True,51.52326004,False,135,5
Added,False,"Queen Victoria Street, St. Paul's",31,-0.097441687,True,51.51196176,False,136,1
Added,False,"Bourne Street, Belgravia",7,-0.153319609,True,51.49087475,False,137,9
Added,False,"Green Street, Mayfair",15,-0.15743697199999998,True,51.51227622,False,138,4
Added,False,"Lambeth Road, Vauxhall",7,-0.117974901,True,51.49488108,False,139,11
Added,False,"Finsbury Square , Moorgate",30,-0.085634242,True,51.52096262,False,140,2
Added,False,"Chapel Place, Marylebone",29,-0.147203711,True,51.51530805,False,141,0
Added,False,"West Cromwell Road, Earl's Court",18,-0.198286569,True,51.49372451,False,142,4
Added,False,"Pont Street, Knightsbridge",19,-0.16120382800000002,True,51.4968865,False,143,4
Added,False,"Kennington Cross, Kennington",2,-0.11143579599999999,True,51.48894022,False,144,44
Added,False,"Ilchester Place, Kensington",18,-0.202759212,True,51.50074359,False,145,6
Added,False,"Vauxhall Bridge , Pimlico",7,-0.129361842,True,51.48836528,False,146,28
Added,False,"Portugal Street, Holborn",15,-0.11614642,True,51.51494305,False,147,0
Added,False,"Tachbrook Street, Victoria",1,-0.13836484699999999,True,51.49211134,False,148,15
Added,False,"Kennington Road Post Office, Oval",0,-0.110683213,True,51.48478899,False,149,18
Added,False,"Holy Trinity Brompton, Knightsbridge",21,-0.168917077,True,51.49705603,False,150,7
Added,False,"Chepstow Villas, Notting Hill",16,-0.201554966,True,51.51213691,False,151,8
