locked,name,emptySlots,longitude,installed,latitude,temporary,@ID,bikesAvailable
false,"Sumner Place, South Kensington",13,-0.173715911,true,51.49121192,false,172,5
false,"Sloane Avenue, Knightsbridge",14,-0.167894973,true,51.4931848,false,163,15
false,"Southampton Place, Holborn",20,-0.121328408,true,51.51760685,false,162,0
false,"Guildhouse Street, Victoria",5,-0.141334487,true,51.49234577,false,161,11
false,"Waterloo Place, St. James's",19,-0.131773845,true,51.50663341,false,160,1
false,"Eccleston Place, Victoria",11,-0.147624377,true,51.49395092,false,167,8
false,"Seville Street, Knightsbridge",13,-0.159237081,true,51.50185512,false,166,14
false,"Orsett Terrace, Bayswater",1,-0.183716959,true,51.517932,false,165,14
false,"Cleveland Gardens, Bayswater",2,-0.183118788,true,51.515607,false,164,14
false,"South Wharf Road, Paddington",9,-0.175810943,true,51.51733558,false,186,5
false,"
      Queen's Gate (South), South Kensington
    ",6,-0.178433004,true,51.49247977,false,187,19
false,"Portland Place, Marylebone",33,-0.14521173,true,51.52071513,false,184,1
false,"Alderney Street, Pimlico",1,-0.140741432,true,51.48805753,false,185,13
false,"Rampayne Street, Pimlico",5,-0.132845681,true,51.48997562,false,190,16
false,"Hyde Park Corner, Hyde Park",3,-0.153520935,true,51.50311799,false,191,21
false,"Nutford Place, Marylebone",17,-0.164393768,true,51.5165179,false,188,1
false,"Claremont Square, Angel",11,-0.109914711,true,51.53166681,false,189,7
false,"Warwick Square, Pimlico",0,-0.141923621,true,51.48985626,false,178,18
false,"Gloucester Terrace, Bayswater",6,-0.188098863,true,51.51791921,false,176,17
false,"Ashley Place, Victoria",14,-0.140947636,true,51.49616092,false,177,11
false,"Bell Street , Marylebone",1,-0.165842551,true,51.52202903,false,182,17
false,"North Audley Street, Mayfair",9,-0.153645496,true,51.5129118,false,180,8
false,"Belgrave Square, Belgravia",3,-0.152317537,true,51.49941247,false,181,18
false,"New Road  2, Whitechapel",5,-0.06275,true,51.518144,false,205,13
false,"Margery Street, Clerkenwell",10,-0.112432615,true,51.52659961,false,204,9
false,"Grosvenor Crescent, Belgravia",14,-0.153194766,true,51.50135267,false,207,4
false,"New Road 1 , Whitechapel",10,-0.062697,true,51.518154,false,206,8
false,"Dorset Square, Marylebone",0,-0.161113413,true,51.5225965,false,201,16
false,"LMU Commercial Road, Whitechapel",2,-0.066078037,true,51.51492456,false,200,12
false,"West Smithfield Rotunda, Farringdon",13,-0.100791005,true,51.51821864,false,203,2
false,"Leman Street, Aldgate",14,-0.06954201,true,51.51236389,false,202,23
false,"Stamford Street, South Bank",5,-0.111606696,true,51.50556905,false,197,21
false,"Union Street, The Borough",9,-0.098497684,true,51.50368837,false,196,8
false,"Great Tower Street, Monument",22,-0.082989638,true,51.51048489,false,199,2
false,"Bankside Mix, Bankside",42,-0.100186337,true,51.50581776,false,193,16
false,"Wardour Street, Soho",14,-0.133201961,true,51.51251523,false,192,0
false,"Milroy Walk, South Bank",15,-0.106237501,true,51.50724437,false,195,15
false,"Hop Exchange, The Borough",15,-0.091773776,true,51.50462759,false,194,41
false,"Chelsea Green, Chelsea",10,-0.166485083,true,51.49066456,false,220,16
false,"Horseferry Road, Westminster",11,-0.13045856,true,51.49481649,false,221,5
false,"Knightsbridge, Hyde Park",35,-0.155349725,true,51.50275704,false,222,8
false,"Rodney Road , Walworth",1,-0.090220911,true,51.49148474,false,223,23
false,"Old Brompton Road, South Kensington",14,-0.181190899,true,51.49094565,false,216,16
false,"Wormwood Street, Liverpool Street",11,-0.082422399,true,51.51615461,false,217,5
false,"St. Luke's Church, Chelsea",12,-0.170194408,true,51.48971651,false,218,8
false,"Bramham Gardens, Earl's Court",6,-0.19039362,true,51.49016361,false,219,21
false,"Campden Hill Road, Notting Hill",13,-0.199004026,true,51.50658458,false,212,4
false,"Wellington Arch, Hyde Park",32,-0.149569201,true,51.50274025,false,213,3
false,"Endsleigh Gardens, Euston",11,-0.130504336,true,51.52683806,false,214,21
false,"Moorfields, Moorgate",52,-0.088285377,true,51.51906932,false,215,0
false,"Mallory Street, Marylebone",14,-0.166304359,true,51.52505151,false,208,6
false,"Denyer Street, Knightsbridge",22,-0.165101392,true,51.49358391,false,209,7
false,"Hinde Street, Marylebone",20,-0.151926305,true,51.51681444,false,210,1
false,"Cadogan Place, Knightsbridge",12,-0.158105512,true,51.49464523,false,211,22
